twitter,emoticon,sentiment score,sentiment feature,generalized feature
 ive nbeem drink for s few hourst,0,0,positive,2
 I've seen that episode time to turn over,0,0,positive,2
 I've wanted Allison to win America's Next Top Model since the beginning... gosh,0,0.6808,very positive,3
 jajajaja. what do  you mean&quot;in some way&quot;?&gt;&lt;,0,0,positive,2
 Jay Leno's last show,0,0,positive,2
 Jay's last show in 2 minutes.,0,0,positive,2
 jb is in toronto,0,0,positive,2
 Jeep breaks down,0,0,positive,2
 jive mad i aint get tew c da game its all gud doe had 2 make sat $$$ man...holetime i new da lakers was gon fry sum shit up..lls,0,-0.7783,very negative,0
- Home From My Trip To Alberta Now And I Am Sooo Tired!! Such A Long Drive Home!! ,0,-0.6209,very negative,0
 Homeless man just got arrested. I HAVE every reason for going to give excuses for him to be released. :/ I wish i had the gaul....,0,-0.4215,negative,1
 Hope all is well in the Kill Hannah camp.,0,-0.1779,negative,1
 hope my momma's okay.,0,0.5859,very positive,3
 hope that wouldn't happen in real life,0,0.4404,positive,2
 hopefully not. @NiceonKeys90,0,0.4019,positive,2
 horse 3 and 4 just finished. They were very tired! Eurovisions runaway leader took away all the tension.,0,-0.6989,very negative,0
 hospitaLs sukk,0,0,positive,2
 How are you all? been very hot I must say.,0,0,positive,2
 how can finding somewair to live next year be such hard work.,0,-0.1027,negative,1
 how can I be out of eggs? no baking for me this morning,0,-0.296,negative,1
 how much crying can one person really do? I mean come on,0,-0.4767,negative,1
 how my solve this thing??..,0,0.2869,positive,2
 how r u all todaii,0,0,positive,2
 How sad my phone is dead and i don't have my charger... ugh,0,-0.8807,very negative,0
 how the duck am i supposed to write 1500 art history words on something i can hardly see!,0,0,positive,2
 How to Tell if Your Son is Gay? [PIC]: http://digg.com/d1tpPB?t,0,0,positive,2
 Hoy no ha sido un buen d?¡©a at all  .....Need support ,0,0.4404,positive,2
 http://bit.ly/k9Lxe  they looked so happy here!!!,0,0.7662,very positive,3
 http://bit.ly/Y1YjQ I'm reading: The Peak of Hotness.,0,0,positive,2
 http://psychcentral.com/maniaquiz.htm  Good thing you can't TRUST online quizzes,0,-0.0886,negative,1
 http://screens.delaender.net/24ea555d2fd0a8dd97af9f053aa4546c.png - TextMate hasn't enough memory. I got 4GB RAM hmm,0,0,positive,2
 i  missed church.....AGAIN.......stupid backwards sleeping habits.....,0,-0.296,negative,1
 I &lt;3 Bobby,0,0,positive,2
 I accidentally slammed the door on one of my toes cause i thought my foot wasn't there. It did bleed but it's stopped now :/,0,-0.7311,very negative,0
 I adore leather corsets.,0,0.5574,very positive,3
 i agree @OasisStasis http://ff.im/2dojM,0,0.3612,positive,2
 i already said goodbye to my besties @adrianacoffey @monicaramos427 @verooperez &amp; @paulettecolberg . las amo . i'll miss you  [ILY],0,-0.1531,negative,1
 i always hoped it wasn't true.,0,0.069,positive,2
 i always lose. no matter how nice i am ,0,-0.25,negative,1
 i am bored,0,-0.2732,negative,1
 I am gonna miss sam bradley's concert in L.A. Only one day earlier!Damn!,0,-0.2924,negative,1
 I am not certified...http://bit.ly/rKiDD,0,0,positive,2
 i am sick of being poorly now,0,-0.5106,very negative,0
#NAME?,0,0,positive,2
 i am so sunburnt that it hurts,0,-0.4767,negative,1
 i am still uber sick (lol,0,-0.5563,very negative,0
 I am such a wus these days...,0,0,positive,2
 I am thoroughly disappointed that Penny and Leonard are still not together and that Penny just broke my heart with one sentence.,0,-0.7089,very negative,0
 I am what I say I am.....I am Yashawini.....a successful woman,0,0.5859,very positive,3
 I be cool,0,0.3182,positive,2
' I believe in you my love,0,0.6369,very positive,3
 I bet you were with him! @PITX08 oh,0,0,positive,2
 Hello Summer  listenin to nevershoutnever! makes me feel all summery  lunch time (Y),0,0,positive,2
 Hello TWITTER! (100th update Wooohooo),0,0,positive,2
 Help I dont know what to wear tomorrow nite !  I have my pink lady jacket but thats it.  any idea's what else to do ??,0,0.3616,positive,2
- He's a keeper for sure cuz the boi has even got me smilin n my sleep!    Wow!,0,0.7707,very positive,3
 hey all im bored and since im wating for cliare before going to my grans i thought i would twitter lol,0,0.1779,positive,2
 hey isn't this easy. ,0,-0.4132,negative,1
 hey u guys r on....im going to canada today...for an unhappy reason...,0,-0.4215,negative,1
 hit by someone running a red light...my cars totalled...but thank God i just have a headache &amp; nothing more.,0,0.5574,very positive,3
 hmm. i really like the songs on the summer ep. &lt;3 nsn,0,0.4201,positive,2
 holy shit.,0,-0.5574,very negative,0
 home and away (i've been home to watch this every day this week?),0,0,positive,2
 home from a friends ..aha great party ,0,0.872,very positive,3
 Home from NINJA weekend...I will miss you dearly!  Best $200 spent on tickets.,0,0.7712,very positive,3
 HOMEWORK!!!!,0,0,positive,2
 homework. uggh,0,0,positive,2
 Honorary Hollywood Mom Mafia: @bostonmamas @PetiteMommy @blissnine @MomSquadBlog @all_moms @twitterparents @MomsofAmerica #FollowFriday,0,0.34,positive,2
 hope it gets better soon @missjeffreestar,0,0.7003,very positive,3
 hopefully I make it to next years parade. YES,0,0.7297,very positive,3
 How beautiful is Prince. Oh My Goodness,0,0.7845,very positive,3
 How do I make my headache go away?,0,0,positive,2
 how i love the sun and its powers,0,0.6369,very positive,3
#NAME?,0,0,positive,2
 how much do I love this...... Just stopped to grab a bite on the road and as we walk in.... Summertime came on &lt;3   ,0,0.5106,very positive,3
 http://bit.ly/MisVv  please find him ok. Can't stand this tearing Ryry apart ,0,0.5423,very positive,3
 http://www.inimacopiilor.ro/campanie/campanie.php - pt copii,0,0,positive,2
 Hubby went to pick up  my Fringe comics today @ store by his work. THAT store was out of business too. No comix in Houston. Have 2 Web.,0,-0.296,negative,1
 hungry and indecisive,0,-0.25,negative,1
 I also like this night. I'll hibernate now.,0,0.3612,positive,2
- I am burnt to a crisp.   Sunburn sucks!,0,-0.4199,negative,1
 i am regretting getting that film developed... RIP,0,-0.4019,negative,1
 i am so over it all.  ,0,0,positive,2
 I am so worried......,0,0,positive,2
#NAME?,0,0,positive,2
 I aways feel terrible when my friends get yelled at.,0,0,positive,2
 i beeeeen sayin when my last days were heffer!!! lol lol next time forsure when u and @nessb0o graduate in 10 years,0,0.7562,very positive,3
 i Call you,0,0,positive,2
 i came home and didnt have anyone to tell how my day was to,0,0,positive,2
 I can only think of one way to get out of this stupid loop of shitty moods,0,-0.8225,very negative,0
 I cannot print from Ubuntu to my Samsung printer,0,0,positive,2
 I cant believe it,0,0,positive,2
 i can't block people anymore! what's wrong!,0,-0.3134,negative,1
 i can't drive myself to school until december,0,0,positive,2
 joe and stella. stop being so cute. i only know disney is tempting me with forbidden fruit.,0,-0.1796,negative,1
-- jon &amp; kate plus 8 on monday might make me really sad  ... stay together for the kidssssssss   ,0,-0.5256,very negative,0
 Jonas Brothers 3D Concert Movie is out on the 7th of May and i can't go because of school interviews.  BUT i'LL see it sat!!(Hopefully),0,0,positive,2
 jonas brothers,0,0,positive,2
 Josh Groban's music is my happy place.,0,0.5719,very positive,3
 jst received sm profound words 4rm the last guy I dated... thx Chigo,0,0.3612,positive,2
 jus chillen with the homies on the west sieedahh,0,0,positive,2
 just been taken into a pet shop with @staceynoir tarantulas and mini crocodiles,0,0,positive,2
 just busted my head on my friends windshield. i hurt.,0,-0.0772,negative,1
 just came back from Memorial of a friend around 100-200 turned up. I'm so sad right now. RIP Tom,0,-0.2002,negative,1
 just dropped my boi off at the airport. I feel as though the L word is coming and I'm resisting it.,0,0,positive,2
 just finished writing australia and put it up at lifesaclimb,0,0,positive,2
 Just found out I don't get to hear from my soldier for another week!!!,0,0,positive,2
 Just found out my &quot;play play&quot; grand-daddy died...  RIP William Watson... Thanks 4 the memories!,0,0.4926,positive,2
 Just get some new clothes. Thx mom.,0,0.3612,positive,2
 Just got a notebook similar to a Moleskine. Looking forward to purchasing one in Hong Kong this summer. ,0,0,positive,2
 just got home. Wow that was actually fun,0,0.7964,very positive,3
 just got served by a small minded jerk off. So much for being funny.,0,0.128,positive,2
 just happy.that's all i'm tweeting now,0,0,positive,2
 just like I thought everyone is busy already. It now depends on lyss...,0,0.3612,positive,2
 just like that.,0,0.3612,positive,2
 just passed up going to my favorite bar with most of my favorite people because i hurt so bad  -otte-,0,-0.4388,negative,1
 just really upset and drunk,0,-0.6764,very negative,0
 Just re-tanlined my basketball sock tanline. Ftl.,0,0,positive,2
 just sat wit sis lookin on twitter  x,0,0,positive,2
 just soaked in the hot springs of Pagosa. So nice.,0,0.4754,positive,2
 just trying to help,0,0.4019,positive,2
 just walked in on boyfriend trying to hang himself.  he's okay.,0,0.2263,positive,2
 just watched the farrah facett story. i feel terrible for her :/,0,-0.6705,very negative,0
 just weighed self... still 59 kilos!! Damn you body,0,-0.508,very negative,0
 just woke up..,0,0,positive,2
 Karine Ruby,0,0,positive,2
 karly on bb...how ...fifian..?,0,0,positive,2
 killer headache. Today was half good and half bad. Could use some good news.,0,-0.4588,negative,1
- Kris Lundberg is speaking at the Int'l Virginia Woolf Conference today at 4pm! Come to Lincoln Center and support her. 113 W. 60th St. ,0,0.4574,positive,2
 kyokyo-chan isn't real.... )': Yukyosukuji!&lt;3,0,0.416,positive,2
 last day of holidays...I wanna cry. http://tinyurl.com/d8s778,0,-0.4767,negative,1
 last day of holidays...I wanna cry. http://tinyurl.com/q8428o,0,-0.4767,negative,1
 last day of school....,0,0,positive,2
 last day of summer uniform,0,0,positive,2
 i broke my microphone ,0,-0.4215,negative,1
 i burn my tounge,0,0,positive,2
 I burned my quesadilla.,0,0,positive,2
 i can't believe i get sick on the first week of school.. 20 more days and then i'm outta there. ugh i hope i get better soon,0,0.691,very positive,3
 i cant believe you....,0,0,positive,2
 i cant fall asleep.,0,0,positive,2
 I can't find pistachio ice cream at my store,0,0,positive,2
 i cant go to miley cyrus tour 2009 because i would be on a wedding !,0,0,positive,2
 i cant go to work until 7... that means 2 hours less... tear,0,0,positive,2
 i cant guys. my computer got taken away    i'm on my moms phone,0,0,positive,2
 I can't play spymaster anymore. The page just keeps loading without ever actually doing so. So sad. WTF?!,0,-0.7184,very negative,0
 i cant see anything!!!!!! Im from spain and i cant see it!!! It isnt fair!,0,-0.4819,negative,1
 i can't stand Ravenna,0,0,positive,2
 i cant stop being sad,0,0.5334,very positive,3
 I can't stop crying. I'm horrible to my husband and putting him off,0,-0.015,negative,1
- I can't wait to JDM my RSXy  be ready to race this badass chick! Yall aint ready.,0,0.5487,very positive,3
 i cant wait to shower off all the dust on my body from my room! ARGH,0,0,positive,2
 I can't waite to I have a hubby and little one to come home to,0,0,positive,2
 i cant watch skins! mum is in the loungeroom she wont leave!,0,0.1857,positive,2
 I cantt sleep -averi tweeting from moms phone,0,0,positive,2
 I changed my mind ,0,0,positive,2
 i could be at a movie right now with someone...,0,0,positive,2
 i could cry at how nice dannys voice sounds on radio one (L),0,-0.0772,negative,1
 I couldn't eat my strawberry ice cream. My tummy hurts.,0,-0.4767,negative,1
 I couldn't go to Tower Records to buy LINES,0,0,positive,2
 I COULDN'T HELP IT.,0,0.4019,positive,2
 I couldv'e taken a class from THE Ryan Feng... Sadness...Aw well! Ima learn from Mike Song and Tony Tran! Thassright people!,0,0.4545,positive,2
 I cut myself in like 3 different places. Sucky much.?,0,-0.3612,negative,1
 i dare you to ask for it like that.,0,0.3612,positive,2
 i did not like the way i was awakened today,0,-0.2755,negative,1
 I Didnt Expect My Niqht O2 End This Early..,0,0,positive,2
 i didnt go shopping,0,0,positive,2
 i didn't know.,0,0,positive,2
 i didn't want justine to go...will sam ever get eliminated &gt;.&lt; #masterchef,0,-0.0572,negative,1
 I dislike this immensely,0,-0.3818,negative,1
 i don't even know.,0,0,positive,2
 i dont feel all that great. my head is gonna explode,0,0.6249,very positive,3
 I don't feel good again! Wth?,0,-0.7268,very negative,0
 i dont feel so good ,0,0.5777,very positive,3
 I don't have any decent looking ones at all. I don't want to wear mine and look like a big dork,0,-0.0315,negative,1
 I dont have lunch money,0,0,positive,2
 I don't have the guts!!???,0,0,positive,2
 i dont know how to do that fringe braidy thing ,0,0,positive,2
 I don't know what my problem is..:/,0,-0.4019,negative,1
 I don't know..,0,0,positive,2
 I don't like cleaning,0,-0.2755,negative,1
 i dont like it when people dont text back ~Tim~,0,-0.2755,negative,1
 I don't think I can call myself &quot;prize winning&quot;,0,0,positive,2
 I don't think I was wrong no matter what nobody says I really didn't want da bread I just wanted my pancakes didn't want to waist da food,0,-0.1398,negative,1
 I cant find my connector for my cameraa!!!  Where is itt?!?!?!?!,0,0,positive,2
 I cant get ma rarse outa bed. I NEED 2 get sum work done!,0,0,positive,2
 i cant get photos to save for my twitter layout...argh...,0,0.4939,positive,2
 I can't get to sleep... I'm also doing some serious thinking... LK should do an album... #littlekuribohYGOASsoundtrackalbum anyone? =],0,0.3182,positive,2
 I can't open my YM account ! Grr.,0,0,positive,2
 i cant sleep,0,0,positive,2
 I cant take the hurt...,0,0,positive,2
 i can't tell if he was crying.,0,-0.4767,negative,1
 i can't type! my mad typing skills are screwed! this damn papercut!,0,-0.6781,very negative,0
 i cant upload my pic...,0,0,positive,2
 I can't wait only 3 more days left.,0,0,positive,2
 i cant wait to leave! lol,0,0.5007,very positive,3
 I caught up. I WANT MOREEE! Ugh,0,-0.2638,negative,1
#NAME?,0,0,positive,2
 i cried over jon and kate ... i think that makes me pretty lame haha,0,0.2023,positive,2
 I cut my hair,0,-0.2732,negative,1
 I didn't get picked for any show!!! Boehoe!,0,0,positive,2
 I didn't go to school. Again. My head hurts so bad. Again. This sucks. Again.,0,-0.8776,very negative,0
 I do look like luda,0,0.3612,positive,2
 i dont feel good at all my tummy and head hurts really bad (((,0,-0.8519,very negative,0
 I dont know how to get the output type from nast and tsp01 tables... but tomorrow i will find that,0,0,positive,2
 I don't know what I did. @myhaloromance,0,0,positive,2
 I don't know what to say but ,0,0,positive,2
 I don't know what to wear....,0,0,positive,2
 i don't know...?,0,0,positive,2
 I dont like strapless bras either.,0,-0.2755,negative,1
 i dont like that phone anymore...,0,-0.2755,negative,1
 i dont like the fact my gay best friend is in tears... ?¢â?,0,0.7684,very positive,3
 i don't like thunderstorms! just let me hide!,0,-0.5258,very negative,0
 i don't like your livejournal because you don't use fancy words like that in real life.,0,-0.4973,negative,1
 I don't really wanna do this...love stinks sometimes.,0,-0.25,negative,1
 i dont wanna wait 10 more dayss,0,0,positive,2
 I dont want her to be mad at me. She is sooo sweet!,0,-0.1813,negative,1
 i dont want to go to bed but im so tired,0,-0.737,very negative,0
 i dont wanta go to school today.....,0,0,positive,2
 I dontcthink I slept enough.,0,0,positive,2
 i dontttttttttttt feeeeeeeeel goooood ,0,0,positive,2
 i feel bad now.,0,-0.5423,very negative,0
 i feel like a idiot yet again.,0,-0.2023,negative,1
 i get my flip-flops in a few days but i am not happy.,0,-0.612,very negative,0
 I get to do a review for Katie and Nina and for Colette when it gets here...... LIFE IS GOOD!!!!  ,0,0,positive,2
 I get to sleep in as late as I want tomorrow! I'm so excited!,0,0.6124,very positive,3
 I got a D in foundation mock http://twitpic.com/7slt4,0,-0.4215,negative,1
 i don't think i'll be able to wear my hair extensions all week i don't have enough time to put them on really busy week,0,0,positive,2
 i dont understand twitter,0,0,positive,2
 I don't wanna go to work...,0,0,positive,2
 I don't wanna. What I do want,0,0.0772,positive,2
 I don't want a million followers and sending out the exact same tweet is annoying. How can people with 0 updates have followers? So sad.,0,-0.7442,very negative,0
 I don't want to go to work,0,-0.0572,negative,1
 i feel bad i woke you up!!! but thats awesome do it so i can be addicted to you too ,0,0.7412,very positive,3
 i feel bad. I love you sweetheart,0,0.7184,very positive,3
 i feel like my insides are slowly being torn from my body...,0,0.128,positive,2
 i feel like shit,0,-0.2732,negative,1
 i feel like such a loser.  i hate hills,0,-0.6808,very negative,0
 i feel lonely.,0,-0.3612,negative,1
 i feel proud that took up the whole thing,0,0.4767,positive,2
 i feel really alone,0,-0.3167,negative,1
 i feel really really really fucking sick,0,-0.6292,very negative,0
 I feel so disconnected without AIM. WORK DAMMIT.,0,0,positive,2
#NAME?,0,0,positive,2
 I FEEL SO..... REPLACED.,0,0,positive,2
 I feel terrible. Gosh,0,-0.4767,negative,1
 I feel the way this sign looks stay up twitter peeps,0,0,positive,2
 i fell down the stairs LOL!  stoooopid straightener!,0,0.627,very positive,3
- I felt really sad when I heard that Paul McCartney's squirrel was going to be shot  Fortunately I'd got the w.. http://htxt.it/l/qKpSIk,0,-0.5256,very negative,0
 I found out my mum has got cancer off the womb and she was supposed to go for an operation on Saturday but she didn't go and I feel upset,0,-0.7269,very negative,0
 i got my eye on u! Lol,0,0.4753,positive,2
 I got scolded for not waiting and spending MORE to find my perfect storage solution...  saddies Guess I should have *hangs head*,0,0.5719,very positive,3
 I got so scared tonight. Love you @kristengraham,0,0.3117,positive,2
 i got yelled at 4 helping the cats by my neighbor,0,0.296,positive,2
 i got you anytime man. Just holla if you need me. ,0,0,positive,2
 i gotta remember to update more frequently i don't have my blackberry it was so much easier  how is everyone doing?,0,0.4728,positive,2
 I guess all the finger-crossing in the world couldn't help her.,0,-0.3089,negative,1
 I guess I'm no Sherlock,0,-0.296,negative,1
 i had 107 followers when i went to bed now i have 102 what happen  it better not have been any of my VIP or maybe some non VIP got mad,0,0.8301,very positive,3
 I had a bad thought,0,-0.5423,very negative,0
 i had a freaky dream last night,0,-0.128,negative,1
 I had to postpone the photoshoot. Stupid Wisconsin weather. Why can't it be sunny? Working out,0,-0.7672,very negative,0
 I has a huge pack of giant buttons &amp; a bag of doritos.  @shinydan is fab! oh &amp; he brought me coffee and is making sausage butty for lunch,0,0.68,very positive,3
 i has no followers to message to,0,-0.296,negative,1
 I has sazzy's cruddy disease,0,0,positive,2
 i hate bad days.,0,-0.802,very negative,0
- I hate being offered an opportunity you know you can't take... The right decision isn't always the fun one ,0,-0.5577,very negative,0
 I hate budget cut. It's not making me happy.,0,-0.8315,very negative,0
 I hate fighting,0,-0.7351,very negative,0
 I hate how everything is so easy in OS X ...but at the same time...I love it. #OSX,0,0.6418,very positive,3
#NAME?,0,0,positive,2
 i got it nowww!!,0,0,positive,2
 I GOT MAIL! yay for mail,0,0.5707,very positive,3
 i got my hair confused with my curly noodles...,0,-0.3182,negative,1
 i got scolded by my mother via skype. told me to go to sleep. doesn't she know by now that her daughter is nocturnal.,0,0,positive,2
 i got sun burned bad at work!,0,-0.5848,very negative,0
 i got the wrong damn monster. Ugghhh now i gotta go back to the shopette! at like.....4 in the morning. not pleased.,0,-0.8175,very negative,0
 i gotta take a whiz. lol,0,0.4215,positive,2
 i gotta work today,0,0,positive,2
 I guess I see it differently. Jason told then he was removing the questions and Andrew responds to that,0,0,positive,2
 I had 6 followers and I joined 2 days ago they un followed me! :1,0,0,positive,2
 I had a feeling of impending doom &amp; then hear about this. NO GOOD. NO GOOD.,0,-0.1941,negative,1
 i had a wonderful day with O.  Haight and Thai food.,0,0.5719,very positive,3
 I had too many gummy octopus... The gummy hurt my tummy,0,-0.5267,very negative,0
 i has to do the dishes ,0,0,positive,2
 i has veggies tooo! lots of corm and peppers though and like 2 carrots,0,0.4199,positive,2
 i hate being in love. out of love. in love. hates it,0,0.7906,very positive,3
 I hate germantown it keeps me from friends! Lols,0,-0.2244,negative,1
 I hate it here. I hate everything. I don't understand why we only fight when my dads here. Anywho,0,-0.875,very negative,0
 i hate it when they wake me up with a wrong number and my step dad vacumming EVERY saturday morning.,0,-0.7579,very negative,0
 I hate muscle spasms. Fuck you spasms!!!!! http://twitpic.com/6e4a7,0,-0.8544,very negative,0
 I hate my job! I want to fly a plane soon! :  I hate my job! I want to fly a plane soon!  http://tinyurl.com/mm9wod,0,-0.8388,very negative,0
 I hate packing!,0,-0.6114,very negative,0
 i hate rain and people.,0,-0.5719,very negative,0
 i hate songs that will NEVER be my life.,0,-0.5719,very negative,0
 I hate the Rain! It puts a dampner on my sunday! I hope its gonna be sunny 2morrow! We need the good weather!,0,0.7243,very positive,3
 I hate the scale.,0,-0.5719,very negative,0
 i hate this family. Save me!,0,-0.2003,negative,1
 I hate watchin' this episode! Boulton the stations tough guy left frightened and angry - and in need of a HIV test after raid gone wrong!,0,-0.9335,very negative,0
 I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,0,-0.5719,very negative,0
 i hate when my boyfriend has a bad day!,0,-0.8172,very negative,0
 i hate work. havent done much today. im trying! i have artists block. cant draw ,0,-0.784,very negative,0
 i hate work. :/ I'm so sorry Aly.,0,-0.7713,very negative,0
 I have already completed work on &quot;mechanisms&quot; that boredom ... Now I have to study the map of Africa! tomorrow..BASEBALL! its SO cool,0,0.3839,positive,2
 I have an appt,0,0,positive,2
 I have no hair left trying to book train to Sheffield for Sun .. anyone ? I'm helping a pal fufill a dream to see Beyonce ... STRESS !,0,-0.4263,negative,1
 i have one thing perfect going for me that i want. I have one bad thing not going for me at all that i want more than anything in the ...,0,0.2023,positive,2
 i have something to say thats going to keep you from smiling,0,0.4588,positive,2
 I have that sad and disappointed feeling in my gut...,0,-0.6908,very negative,0
 last day of weekend.,0,0,positive,2
 Last day of year 11 today. Boswells 04-09 (L),0,0,positive,2
 LAST Day To Enter http://tinyurl.com/r3qhor,0,0,positive,2
 last episode of buffy always makes me cryy,0,0,positive,2
 last time seeing my kids. 2 of the greatest kids in the world.,0,0.6369,very positive,3
 last tweet for the night! VOTE for @GoodeMovement here: http://tinyurl.com/lv6969 and with that same determination... #squarespace !!,0,0,positive,2
 Laughter is one of the best things that God has given us,0,0.8591,very positive,3
- laying in bed b/c I have nothing to do! ,0,0,positive,2
 leaving florida want to live there forever! Texan*Girl,0,0.1511,positive,2
- leaving for Seattle in ~14 hours!! Just one more day of work to survive,0,0,positive,2
 leaving this hotel room sucks. They upgraded up to a two bedroom suite. Oh well.,0,-0.1027,negative,1
 leaving tomorrow. miss home. mum's incessantly whining to go shopping. i wanna stay home.,0,-0.3612,negative,1
 less and less people have been partying lately.,0,0.3818,positive,2
 lets get like icecream after to make u feel better!,0,0.69,very positive,3
 life is a mystery.!!! LOL freakin marriah.!!! LOL *blast off.!!* LOL,0,0.9147,very positive,3
 life never ceases to amuse me. Wouldnt want it any other way!,0,-0.3071,negative,1
 life sucks. but it would suck a lot more if i didn't have the beautiful check yes gingerette to keep me company.,0,-0.7406,very negative,0
 lifes complete. all time low were a-fucking-mazing,0,-0.2732,negative,1
 listenin to trey songs,0,0,positive,2
 LittleBoxOfEvil We are just like that ,0,0.3612,positive,2
 LOL. @elieehinojas...have you seen my new presentation...,0,0.5473,very positive,3
 lol@teedramoses,0,0,positive,2
 Lola hurt her leg... Of course this happens the day before we leave...,0,-0.5267,very negative,0
 lolz  iT.SR|TCE|TBE|,0,0.5719,very positive,3
 LONELY. lol. i'm so boredddddd,0,-0.1111,negative,1
 long ride home and i am bored,0,-0.2732,negative,1
 long week ahead!!! Another weekend off!!!,0,0,positive,2
 lookin up strippin classes,0,0,positive,2
 looks like I have to take the bus home tonight. I really need a new car,0,0.3612,positive,2
 Looks like Villarreal might not be making it to the Champions League next season.,0,0.7096,very positive,3
 Losee Magic,0,0,positive,2
 lost a follower -1. :/,0,-0.5719,very negative,0
 lost a follower! lol,0,0.2003,positive,2
 lost my spot in front of the heater,0,-0.3182,negative,1
 lots of pics of clebs in teeny bikinis at the mo,0,0,positive,2
 lunch break=wasted. 23mins left to keep refreshing.,0,0,positive,2
 M is bummed. i wish there was something i could do,0,0.4019,positive,2
 maaaann...well @ least u dnt hav 2 worry about this silly place nemore @shansopink ...ooo gurl they drive me insane n here...i hate rules,0,-0.8481,very negative,0
 I hate Mondays.,0,-0.5719,very negative,0
 I hate my job! I want to fly a plane soon! ,0,-0.6103,very negative,0
 I hate the &quot;out-of-nowhere&quot; stuff...,0,-0.5719,very negative,0
 i hate this ,0,-0.5719,very negative,0
 I hate this job,0,-0.5719,very negative,0
 i hate thunderstorms...   I don't like the sound of thunder...,0,-0.7013,very negative,0
 i hate today (((,0,-0.5719,very negative,0
- I hate waking up when you're in the middle of the best dream ever ,0,0.3612,positive,2
 i hate work,0,-0.5719,very negative,0
 i hate you think you or talk you? i don`t like that !! now aunts b.day,0,-0.4184,negative,1
 i have a cold!,0,0,positive,2
 I have a headache. ,0,0,positive,2
 i have a new pictureee...i don't have face buuut...it's beatiful! aah the photograph is Sara,0,0,positive,2
 i have a stomach ache.. and i think its from the ahi tuna i had at PF changs tonight.. something was just not right about it.,0,0,positive,2
 I have heartburn...cheap pizza sauce,0,0,positive,2
 I have never seen the Abbey Road thingy,0,0,positive,2
 i have no deo left what am i going to doo i stink!,0,-0.636,very negative,0
 I have rehearsals 10-4 today,0,0,positive,2
 i have the flu i feel horrible... @roly50100150 please come home i feel bad,0,-0.5859,very negative,0
 I have to go back to work now!  not long till finishing time...,0,0,positive,2
 I haven't start packing for a 7:00am flight! FML,0,0,positive,2
 i hope this gets better..,0,0.4404,positive,2
 I hope you're okay &lt;3,0,0.5859,very positive,3
 I jinxed my good mood,0,0.4404,positive,2
 i juss wish hed talk...,0,0.4019,positive,2
 I just bought the 50 pack and so far only 4 out of 10 have worked out. These DVDs http://www.amazon.com/dp/B0007TJ58M,0,0,positive,2
 I just color-edited 60 photos in Lightroom and used my external display and the color profile was wrong. Everything turned out bad. #FAIL,0,-0.765,very negative,0
 I just don't know how to begin this twitter thing. Anyway,0,0,positive,2
 i just found my pet bird pidge. I was worried about her cos she likes to leave her cage and walk around cos she cant fly.. she died ,0,0.5145,very positive,3
 i just got a call form work saying more hours got cut,0,-0.3321,negative,1
 i just got in the mood for a sad song... Boooo! two thumbs down,0,-0.5255,very negative,0
 i just had a bad dream and now i'm afraid to go back to sleep. ,0,-0.3612,negative,1
 I just had to restore my iphone to its original settings...wtf apple...this sucks. I better not lose everything....,0,0.7317,very positive,3
 i just hit my head gettiing into the car,0,0,positive,2
 i just missed out on the hat pricing minigame....i hope i catch it next time! ,0,0.2481,positive,2
 I just ran out of my favorite cologne...Who wants to buy me some more??,0,0.5204,very positive,3
 i just realized i miss 11:11 dangggg,0,-0.1531,negative,1
 i have to be at school for 8 in the morning.,0,0,positive,2
 i have to go to my sisters now to look after vada so im not going to be able to talk properly to anyone for a while ,0,0,positive,2
- I have to miss out on the Nashville night  at least there's a Grease double feature on tonight...haha,0,-0.1531,negative,1
 i have to wake up early 2morrow..Boo!!...first stop starbucks,0,-0.4184,negative,1
 i have twitter on my phone now,0,0,positive,2
 i havee to get up at 6 tomorrow blehh.:/,0,0,positive,2
 I heard thunder... &amp; I think someone's upset at me because I'm a str8 up blunt person... I need some advice on how not to be so blunt ha!,0,0.0952,positive,2
 i hope you get well soon,0,0.6124,very positive,3
 i hope you're ok @EnchanteDMurDeR,0,0.6249,very positive,3
 I hurt my wrist some how this morning and it really hurts ,0,-0.7778,very negative,0
 i hurt so much :*( i wish i never went outside yesterday,0,-0.1119,negative,1
 i joined twitter 24 January 2009. daayyuuummm. i thought it would have been in like april. lololol. hi mom.,0,0.3612,positive,2
 I just dont understand...:/,0,0,positive,2
 I just found ACTUALLY AFFORDABLE Star Trek TOS action figures online! Kirk,0,0,positive,2
 i just found out 2 of my gold fish died....  i named them Gerard and Mikey ....ok tomorrow i am getting new fish,0,0,positive,2
 I just found out that california is a bust this year. Oh well next year it is,0,0.2732,positive,2
 I just got crop dusted.,0,0,positive,2
 i just got shouted at...:/,0,0,positive,2
 I just heard skins music and wants skins back on ,0,0,positive,2
 I just need an opportunity.,0,0.4215,positive,2
 i just realized i missed 11:11 dangggg :/,0,-0.5574,very negative,0
 I just ruined 4th Twilight book for my mom,0,-0.4767,negative,1
 I just wanna feel better. Now I'm freezing!,0,0.4199,positive,2
 i just want to crawl in bed with some cough drops,0,0.0772,positive,2
 I just want to sleep for once,0,0.0772,positive,2
 I just got my ,0,0,positive,2
